Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SOCB,Southcoast Financial Corporation,13.42,95332338.42,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/socb
SFST,"Southern First Bancshares, Inc.",20.49,127778590.56,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sfst
SMBC,"Southern Missouri Bancorp, Inc.",21.34,158442372.44,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/smbc
SONA,"Southern National Bancorp of Virginia, Inc.",11.42,139694110.78,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sona
SBSI,"Southside Bancshares, Inc.",26.55,673251050.25,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbsi
OKSB,"Southwest Bancorp, Inc.",17.18,327001714.8,n/a,1993,Finance,Major Banks,http://www.nasdaq.com/symbol/oksb
SP,SP Plus Corporation,24.37,541365659.1,n/a,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/sp
SPAN,"Span-America Medical Systems, Inc.",18.23,54482779.59,n/a,1983,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/span
SBSA,"Spanish Broadcasting System, Inc.",5.1,33187454.4,n/a,1999,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/sbsa
SGRP,"SPAR Group, Inc.",1.23,25285504.83,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/sgrp
SPKE,"Spark Energy, Inc.",16.58,229586459.94,n/a,2014,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/spke
ONCE,"Spark Therapeutics, Inc.",50.9,1250106239.6,n/a,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/once
SPAR,"Spartan Motors, Inc.",4.4,150729968.4,n/a,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/spar
SPTN,SpartanNash Company,26.54,995697889.04,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/sptn
SPPI,"Spectrum Pharmaceuticals, Inc.",6.12,411945559.92,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sppi
SPDC,"Speed Commerce, Inc.",0.22,17394628.24,n/a,n/a,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/spdc
ANY,Sphere 3D Corp.,3.16,117836400,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/any
SPEX,Spherix Incorporated,0.5294,18212822.7322,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/spex
SAVE,"Spirit Airlines, Inc.",50.16,3657258546.48,n/a,2011,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/save
SPLK,Splunk Inc.,54.96,7060994134.08,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/splk
SPOK,"Spok Holdings, Inc.",16.57,356402920.39,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/spok
SPWH,"Sportsman&#39;s Warehouse Holdings, Inc.",n/a,0,n/a,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/spwh
FUND,"Sprott Focus Trust, Inc.",6.26,142297368.34,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fund
SFM,"Sprouts Farmers Market, Inc.",21.82,3351105977.38,n/a,2013,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/sfm
SPSC,"SPS Commerce, Inc.",73.81,1225458351.37,n/a,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/spsc
SSNC,"SS&C Technologies Holdings, Inc.",70.45,6812710428.3,n/a,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ssnc
STAA,STAAR Surgical Company,8.35,332367708.6,n/a,n/a,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/staa
STAF,"Staffing 360 Solutions, Inc.",5.3399,24419453.4783,n/a,1996,Technology,Professional Services,http://www.nasdaq.com/symbol/staf
STMP,Stamps.com Inc.,72.83,1200929483.87,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/stmp
STLY,"Stanley Furniture Company, Inc.",2.75,41006495.75,n/a,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/stly
SPLS,"Staples, Inc.",12.55,8076750689.6,n/a,1989,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/spls
SBLK,Star Bulk Carriers Corp.,2.3,503549444.3,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/sblk
SBLKL,Star Bulk Carriers Corp.,20.41,0,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/sblkl
SBUX,Starbucks Corporation,58.82,87300644000,n/a,1992,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sbux
STRZA,Starz,38.6,3940540444,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/strza
STRZB,Starz,38.69,3949728232.6,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/strzb
STFC,State Auto Financial Corporation,23.34,962160621.18,n/a,1991,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/stfc
STBZ,State Bank Financial Corporation.,20.3,726106457.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/stbz
SIBC,"State Investors Bancorp, Inc.",21.15,48737192.85,n/a,2011,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sibc
SNC,"State National Companies, Inc.",9.06,403063001.4,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/snc
STDY,SteadyMed Ltd.,2.7467,37303358.4385,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/stdy
GASS,"StealthGas, Inc.",4.5,186850899,n/a,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/gass
STLD,"Steel Dynamics, Inc.",19.15,4635507656.45,n/a,1996,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/stld
SXCL,Steel Excel Inc.,19.88,227702697.04,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/sxcl
SMRT,"Stein Mart, Inc.",8.72,398366782.08,n/a,1992,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/smrt
STNR,Steiner Leisure Limited,64.25,824366114.25,n/a,1996,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/stnr
STEM,"StemCells, Inc.",0.4111,44611309.1008,n/a,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/stem
STML,"Stemline Therapeutics, Inc.",8.81,158355195.23,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/stml
STXS,"Stereotaxis, Inc.",1.02,21488541.96,n/a,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/stxs
SRCL,"Stericycle, Inc.",147.51,12513704324.22,n/a,1996,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/srcl
SRCLP,"Stericycle, Inc.",106.09,0,n/a,n/a,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/srclp
STRL,Sterling Construction Company Inc,4.38,85902693.06,n/a,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/strl
SHOO,"Steven Madden, Ltd.",35.63,2250551313.15,n/a,1993,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/shoo
SSFN,Stewardship Financial Corp,5.99,36483161.22,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ssfn
STCK,"Stock Building Supply Holdings, Inc.",18.44,482843894.92,n/a,2013,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/stck
SYBT,"Stock Yards Bancorp, Inc.",36.11,536283115.14,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sybt
BANX,StoneCastle Financial Corp,17.17,111765968.75,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/banx
SGBK,Stonegate Bank,31.2,394214932.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sgbk
SSYS,"Stratasys, Ltd.",30.71,1586754990,n/a,1994,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/ssys
STRT,Strattec Security Corporation,66.17,237767205.26,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/strt
STRS,"Stratus Properties, Inc.",16.7,134620470.2,n/a,n/a,Consumer Services,Homebuilding,http://www.nasdaq.com/symbol/strs
STRA,"Strayer Education, Inc.",56.46,622655841.9,n/a,1996,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/stra
STRM,"Streamline Health Solutions, Inc.",2.2,41301788,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/strm
SBBP,Strongbridge Biopharma plc,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sbbp
STB,Student Transportation Inc,4.27,411408026.68,n/a,n/a,Transportation,Other Transportation,http://www.nasdaq.com/symbol/stb
SCMP,"Sucampo Pharmaceuticals, Inc.",17.65,798563871.8,n/a,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/scmp
SUBK,Suffolk Bancorp,27.6,325113316.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/subk
SUMR,"Summer Infant, Inc.",1.7557,32081254.7353,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/sumr
SMMF,"Summit Financial Group, Inc.",11.35,123075722.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/smmf
SSBI,Summit State Bank,13.5,64567395,n/a,2006,n/a,n/a,http://www.nasdaq.com/symbol/ssbi
SMMT,Summit Therapeutics plc,10.3,43221004.2,4196214,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/smmt
SNBC,"Sun Bancorp, Inc.",20,373388840,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/snbc
SNHY,Sun Hydraulics Corporation,29.54,788567966.34,n/a,1997,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/snhy
SEMI,SunEdison Semiconductor Limited,11.21,469710703.24,n/a,2014,Technology,Semiconductors,http://www.nasdaq.com/symbol/semi
SNSS,"Sunesis Pharmaceuticals, Inc.",0.9,67923809.1,n/a,2005,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/snss
GOMO,Sungy Mobile Limited,4.75,55628532.5,11711270,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gomo
STKL,"SunOpta, Inc.",5.41,461556898.28,n/a,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/stkl
SPWR,SunPower Corporation,n/a,0,n/a,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/spwr
RUN,Sunrun Inc.,10.74,1082748503.28,n/a,2015,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/run
SBCP,"Sunshine Bancorp, Inc.",14,59248000,n/a,2014,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sbcp
SSH,Sunshine Heart Inc,2.56,46932871.68,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/ssh
SMCI,"Super Micro Computer, Inc.",25.93,1232221215.45,n/a,2007,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/smci
SPCB,"SuperCom, Ltd.",8.25,134194929,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/spcb
SCON,Superconductor Technologies Inc.,0.2611,4752983.1979,n/a,1993,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/scon
SGC,"Superior Uniform Group, Inc.",18.9,260790289.2,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/sgc
SUPN,"Supernus Pharmaceuticals, Inc.",13.94,675340989.86,n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/supn
SPRT,"support.com, Inc.",1.25,68216992.5,n/a,2000,Technology,EDP Services,http://www.nasdaq.com/symbol/sprt
SGRY,"Surgery Partners, Inc.",18.77,903906702.3,n/a,2015,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/sgry
SCAI,"Surgical Care Affiliates, Inc.",30.15,1190298241.8,n/a,2013,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/scai
SRDX,"SurModics, Inc.",20.77,268598221.56,n/a,1998,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/srdx
SBBX,Sussex Bancorp,12.748,59232154.224,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbbx
TOR,Sutor Technology Group Limited,1.2,2033389.2,n/a,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/tor
SIVB,SVB Financial Group,116.01,5971691548.62,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sivb
SIVBO,SVB Financial Group,25.49,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sivbo
SWSH,"Swisher Hygiene, Inc.",1.1,19391805.4,n/a,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/swsh
SYKE,"Sykes Enterprises, Incorporated",26.69,1161582189.19,n/a,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/syke
SYMC,Symantec Corporation,20.6,14093963676.4,n/a,1989,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/symc
SSRG,Symmetry Surgical Inc.,8.73,89944928.1,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ssrg
SYNC,"Synacor, Inc.",1.36,37414726.08,n/a,2012,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/sync
SYNL,Synalloy Corporation,10.22,89181130.36,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/synl
SYNA,Synaptics Incorporated,83.55,3043733852.4,n/a,2002,Technology,EDP Services,http://www.nasdaq.com/symbol/syna
SNCR,"Synchronoss Technologies, Inc.",35.6,1561511657.2,n/a,2006,Technology,EDP Services,http://www.nasdaq.com/symbol/sncr
SURG,"Synergetics USA, Inc.",6.6,168775035,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/surg
SGYP,"Synergy Pharmaceuticals, Inc.",6.11,687172734.56,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sgyp
SGYPU,"Synergy Pharmaceuticals, Inc.",14.5,26363639,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sgypu
SGYPW,"Synergy Pharmaceuticals, Inc.",2.18,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sgypw
ELOS,Syneron Medical Ltd.,7.76,283452693.84,n/a,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/elos
SNPS,"Synopsys, Inc.",47.56,7416858676.92,n/a,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/snps
